stock_code,base_mae,base_mape,adapt_mae,adapt_mape,num_points,start_date,end_date
833523,0.8652253746986389,2.8066601753234863,0.6718923449516296,2.2261993885040283,50,2025-07-21,2025-10-21
002413,0.11487296968698502,1.876749873161316,0.08993414044380188,1.4774566888809204,27,2025-07-21,2025-10-21
000670,0.22536635398864746,2.6113641262054443,0.18927136063575745,2.2044060230255127,52,2025-07-21,2025-10-21
300818,0.6646249294281006,2.495769500732422,0.6258248090744019,2.3485207557678223,59,2025-07-21,2025-10-21
300558,1.7652825117111206,2.6299471855163574,1.710807204246521,2.5500998497009277,61,2025-07-21,2025-10-21
300374,0.3216852843761444,1.778351902961731,0.326163113117218,1.8107744455337524,27,2025-07-21,2025-10-21
002664,0.9399797320365906,3.3874526023864746,0.950445294380188,3.4609057903289795,60,2025-07-21,2025-10-21
002337,0.06910809874534607,1.1721819639205933,0.057287782430648804,0.9715123772621155,27,2025-07-21,2025-10-21
605060,0.6377165913581848,2.6339662075042725,0.5312679409980774,2.1702215671539307,27,2025-07-21,2025-10-21
002202,0.3428507447242737,2.6405787467956543,0.28645530343055725,2.2077205181121826,59,2025-07-21,2025-10-21
688315,0.27587878704071045,1.7194222211837769,0.2461680769920349,1.5356653928756714,52,2025-07-21,2025-10-21
600763,0.6870015263557434,1.4795678853988647,0.6120311617851257,1.3225548267364502,27,2025-07-21,2025-10-21
000755,0.03414961323142052,0.6762585639953613,0.032898321747779846,0.6537882089614868,27,2025-07-21,2025-10-21
000725,0.041010670363903046,1.009582757949829,0.033751700073480606,0.8345686793327332,27,2025-07-21,2025-10-21
002259,0.1128864735364914,2.4502885341644287,0.08170653879642487,1.797974705696106,27,2025-07-21,2025-10-21
300331,0.3930360972881317,1.7368651628494263,0.30034250020980835,1.336626648902893,27,2025-07-21,2025-10-21
300453,0.26448604464530945,2.6335768699645996,0.23438990116119385,2.3379065990448,27,2025-07-21,2025-10-21
603366,0.1696474850177765,1.6495451927185059,0.1601405292749405,1.55571711063385,61,2025-07-21,2025-10-21
688449,0.7343946099281311,1.590747356414795,0.6740386486053467,1.443070411682129,27,2025-07-21,2025-10-21
000690,0.045357611030340195,0.9632989764213562,0.04391077905893326,0.935198187828064,52,2025-07-21,2025-10-21
688038,0.4473976492881775,2.5177388191223145,0.36216843128204346,2.0623061656951904,61,2025-07-21,2025-10-21
300155,0.08370044082403183,1.6751385927200317,0.07455773651599884,1.4900188446044922,61,2025-07-21,2025-10-21
838402,0.39498987793922424,3.197840690612793,0.36356595158576965,3.0103375911712646,35,2025-07-21,2025-10-21
605055,0.15162169933319092,2.010471820831299,0.1386944204568863,1.828331708908081,27,2025-07-21,2025-10-21
600740,0.07288781553506851,1.7746624946594238,0.06447910517454147,1.5788813829421997,27,2025-07-21,2025-10-21
300346,0.5605030059814453,1.6543136835098267,0.5049289464950562,1.4999357461929321,27,2025-07-21,2025-10-21
601138,2.4658448696136475,4.896103382110596,1.9623358249664307,3.91231369972229,59,2025-07-21,2025-10-21
688305,0.8386653065681458,1.3458737134933472,0.9371947050094604,1.5066859722137451,52,2025-07-21,2025-10-21
300843,2.6754252910614014,5.159500598907471,2.268700122833252,4.420079708099365,52,2025-07-21,2025-10-21
000100,0.05696939304471016,1.2788525819778442,0.05529303476214409,1.2406079769134521,61,2025-07-21,2025-10-21
002851,2.935535192489624,3.9218671321868896,2.5944318771362305,3.5021684169769287,52,2025-07-21,2025-10-21
600771,0.27525144815444946,1.2751333713531494,0.28375378251075745,1.3139973878860474,27,2025-07-21,2025-10-21
