stock_code,base_mae,base_mape,adapt_mae,adapt_mape,num_points,start_date,end_date
833523,0.8652253746986389,2.8066601753234863,0.6724900603294373,2.2280662059783936,50,2025-07-21,2025-10-21
002413,0.11487296968698502,1.876749873161316,0.08962065726518631,1.4724375009536743,27,2025-07-21,2025-10-21
000670,0.22536635398864746,2.6113641262054443,0.1913558542728424,2.2297768592834473,52,2025-07-21,2025-10-21
300818,0.6646249294281006,2.495769500732422,0.6333869099617004,2.3781609535217285,59,2025-07-21,2025-10-21
300558,1.7652825117111206,2.6299471855163574,1.7114089727401733,2.54923415184021,61,2025-07-21,2025-10-21
300374,0.3216852843761444,1.778351902961731,0.3310365378856659,1.8372647762298584,27,2025-07-21,2025-10-21
002664,0.9399797320365906,3.3874526023864746,0.9537719488143921,3.4746105670928955,60,2025-07-21,2025-10-21
002337,0.06910809874534607,1.1721819639205933,0.0565483495593071,0.958560049533844,27,2025-07-21,2025-10-21
605060,0.6377165913581848,2.6339662075042725,0.5435700416564941,2.2204396724700928,27,2025-07-21,2025-10-21
002202,0.3428507447242737,2.6405787467956543,0.2873082756996155,2.2139744758605957,59,2025-07-21,2025-10-21
688315,0.27587878704071045,1.7194222211837769,0.24779722094535828,1.544635534286499,52,2025-07-21,2025-10-21
600763,0.6870015263557434,1.4795678853988647,0.6264801025390625,1.3535394668579102,27,2025-07-21,2025-10-21
000755,0.03414961323142052,0.6762585639953613,0.03405482694506645,0.676507294178009,27,2025-07-21,2025-10-21
000725,0.041010670363903046,1.009582757949829,0.03289365768432617,0.8123505711555481,27,2025-07-21,2025-10-21
002259,0.1128864735364914,2.4502885341644287,0.08172343671321869,1.7988429069519043,27,2025-07-21,2025-10-21
300331,0.3930360972881317,1.7368651628494263,0.30456289649009705,1.3549882173538208,27,2025-07-21,2025-10-21
300453,0.26448604464530945,2.6335768699645996,0.23647552728652954,2.3600172996520996,27,2025-07-21,2025-10-21
603366,0.1696474850177765,1.6495451927185059,0.15888617932796478,1.5405997037887573,61,2025-07-21,2025-10-21
688449,0.7343946099281311,1.590747356414795,0.700657308101654,1.4982792139053345,27,2025-07-21,2025-10-21
000690,0.045357611030340195,0.9632989764213562,0.04350155219435692,0.9258977174758911,52,2025-07-21,2025-10-21
688038,0.4473976492881775,2.5177388191223145,0.3650110065937042,2.0775115489959717,61,2025-07-21,2025-10-21
300155,0.08370044082403183,1.6751385927200317,0.07337860018014908,1.464279294013977,61,2025-07-21,2025-10-21
838402,0.39498987793922424,3.197840690612793,0.36544033885002136,3.028301477432251,35,2025-07-21,2025-10-21
605055,0.15162169933319092,2.010471820831299,0.13851851224899292,1.8257519006729126,27,2025-07-21,2025-10-21
600740,0.07288781553506851,1.7746624946594238,0.06563262641429901,1.6069576740264893,27,2025-07-21,2025-10-21
300346,0.5605030059814453,1.6543136835098267,0.5189411640167236,1.5412068367004395,27,2025-07-21,2025-10-21
601138,2.4658448696136475,4.896103382110596,1.9644120931625366,3.9203684329986572,59,2025-07-21,2025-10-21
688305,0.8386653065681458,1.3458737134933472,0.9596005082130432,1.5417242050170898,52,2025-07-21,2025-10-21
300843,2.6754252910614014,5.159500598907471,2.2695536613464355,4.428699016571045,52,2025-07-21,2025-10-21
000100,0.05696939304471016,1.2788525819778442,0.05369073152542114,1.2033401727676392,61,2025-07-21,2025-10-21
002851,2.935535192489624,3.9218671321868896,2.6058273315429688,3.518733024597168,52,2025-07-21,2025-10-21
600771,0.27525144815444946,1.2751333713531494,0.2902122735977173,1.3430521488189697,27,2025-07-21,2025-10-21
301500,0.35996586084365845,2.1201930046081543,0.3202729821205139,1.893568754196167,59,2025-07-21,2025-10-21
300841,2.5150938034057617,3.1755447387695312,2.1402084827423096,2.7639827728271484,59,2025-07-21,2025-10-21
002815,0.5208038687705994,3.4386205673217773,0.4394003450870514,2.919180393218994,52,2025-07-21,2025-10-21
300299,0.1472189575433731,2.0788512229919434,0.12097436934709549,1.6976418495178223,52,2025-07-21,2025-10-21
301391,2.4524805545806885,3.709429979324341,1.7036559581756592,2.7435569763183594,59,2025-07-21,2025-10-21
002334,0.16701914370059967,1.78202223777771,0.16195513308048248,1.7445508241653442,27,2025-07-21,2025-10-21
002250,0.24959877133369446,2.2844343185424805,0.22239865362644196,2.0330965518951416,52,2025-07-21,2025-10-21
600326,0.5318869948387146,3.660832643508911,0.4567110538482666,3.11295223236084,61,2025-07-21,2025-10-21
002286,0.15013200044631958,1.3894778490066528,0.13525213301181793,1.2479450702667236,27,2025-07-21,2025-10-21
600101,0.09466051310300827,0.9124745726585388,0.0699605941772461,0.6756690740585327,27,2025-07-21,2025-10-21
